"상품 이름","카테고리","가격","링크"
"진루이 JK 고급 자동차 키홀더, B타입, 블랙, 1개","키링","9,500원","https://www.coupang.com/vp/products/7673725785?itemId=20478002282&vendorItemId=87640651759&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=25&rank=25"
"다다랜드 깜냥 고양이 인형 키링, 9cm, 블랙, 1개","키링","2,400원","https://www.coupang.com/vp/products/8640180089?itemId=25073328454&vendorItemId=92077358567&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=26&rank=26"
"핑크망고 산리오 LED 키캡키링 2구, 랜덤발송, 1개","키링","6,070원","https://www.coupang.com/vp/products/9507080970?itemId=28328441134&vendorItemId=95280873510&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=27&rank=27"
"올리스트 메탈 곰돌이 키링 열쇠고리, 블랙, 1개","키링","9,800원","https://www.coupang.com/vp/products/8729204828?itemId=25362006770&vendorItemId=92356276264&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=28&rank=28"
"iiGEN 몬스터 인형 키링, 7cm, 랜덤발송, 24개","키링","26,820원","https://www.coupang.com/vp/products/8151341930?itemId=23198251859&vendorItemId=90409827183&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=29&rank=29"
"[루카탄] 액션 히어로 피규어 키링 키홀더 가방 자동차 굿즈, 1개, 블랙","키링","7,640원","https://www.coupang.com/vp/products/9190946701?itemId=27121516396&vendorItemId=94089828505&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=30&rank=30"
"자동차 키링 홀더 열쇠고리 2종 세트, 블랙, 1세트","키링","7,350원","https://www.coupang.com/vp/products/6260442100?itemId=12743794807&vendorItemId=80010149062&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=31&rank=31"
"키캡 딸깍이 모음 스트레스 클리커 열쇠고리 키링 키홀더, 1개, 11-치즈","키링","3,200원","https://www.coupang.com/vp/products/9558145968?itemId=28521679153&vendorItemId=95475664553&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=32&rank=32"
"MORIN 아연 합금 공룡 열쇠고리 책가방 액세서리, 1개, 블랙+블랙","키링","9,500원","https://www.coupang.com/vp/products/9520286004?itemId=28379711048&vendorItemId=95331416620&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=33&rank=33"
"InLoop 12간지 수호신 황동 키링 재물운 금전운 액막이 호리병 엽전 비휴 열쇠 고리 경면주사 포함, 1개, 말띠","키링","8,020원","https://www.coupang.com/vp/products/8333714455?itemId=24062140191&vendorItemId=91073157227&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=34&rank=34"
"이카이즈 시바견 12띠키링 피규어 자동차 키홀더 가방고리 열쇠고리, 개띠, 1개","키링","8,800원","https://www.coupang.com/vp/products/8751431120?itemId=25417740297&vendorItemId=91476263295&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=35&rank=35"
"그로밋 행운 인형 가방고리","키링","6,920원","https://www.coupang.com/vp/products/7445247593?itemId=19369727683&vendorItemId=86482543103&sourceType=srp_product_ads&clickEventId=89653e80-5e7e-11f1-a9cf-d1d8848c2a78&korePlacement=15&koreSubPlacement=24&clickEventId=89653e80-5e7e-11f1-a9cf-d1d8848c2a78&korePlacement=15&koreSubPlacement=24"
"구쯔야 행운 가득 LED 네잎클로버 키캡키링, 1개, 그린","키링","9,800원","https://www.coupang.com/vp/products/9544082663?itemId=28471749979&vendorItemId=95461320229&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=37&rank=37"
"정품 헬로키티 핑크 키링 가방고리 백참, 1개","키링","9,900원","https://www.coupang.com/vp/products/9492857001?itemId=28274124338&vendorItemId=95227201567&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=38&rank=38"
"도르나솔 LED 고양이 발바닥 젤리 키캡 키링, 1개, LED 컬러 9구","키링","6,900원","https://www.coupang.com/vp/products/9567075247?itemId=28552971208&vendorItemId=95497710519&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=39&rank=39"
"댓츠댓 고급스러운 자동차 양가죽 키링, 티타늄 그린","키링","9,790원","https://www.coupang.com/vp/products/8463662209?itemId=24486774403&vendorItemId=91502540511&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=40&rank=40"
"냥젤리 키캡키링 4구+1구 LED 클릭커, 1세트, 투명 핑크","키링","9,700원","https://www.coupang.com/vp/products/9509738099?itemId=28338204493&vendorItemId=95290467573&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=41&rank=41"
"호후 닌텐도 스위치 미니어처 키링, 마리오, 1개","키링","3,930원","https://www.coupang.com/vp/products/9501192029?itemId=28305453505&vendorItemId=95258156367&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=42&rank=42"
"다다랜드 힙 고양이 키링, 7.5cm, 눈물 고양이, 1개","키링","1,310원","https://www.coupang.com/vp/products/8618126826?itemId=25001859368&vendorItemId=92007002856&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=43&rank=43"
"다다랜드 y2k 럭키 다이스 메탈 참 키링, 블랙, 1개, 9.5cm","키링","3,000원","https://www.coupang.com/vp/products/9339814300?itemId=27697646428&vendorItemId=94659387098&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=44&rank=44"
"1+1 헬스와미 고급 가죽 차량용 키링 홀더 심플 차키링 열쇠고리, 연브라운, 1세트","키링","4,890원","https://www.coupang.com/vp/products/9068149675?itemId=26679363211&vendorItemId=93651549633&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=45&rank=45"
"조선문방구 말랑뽀송 오리스퀴시 키링, 랜덤발송, 3개, 7.3cm","키링","7,600원","https://www.coupang.com/vp/products/9510106875?itemId=28339493780&vendorItemId=95291735050&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=46&rank=46"
"히키스 프리미엄 안심 가죽 키홀더, 블랙, 2개","키링","4,180원","https://www.coupang.com/vp/products/8123904283?itemId=23054344609&vendorItemId=90087999743&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=47&rank=47"
"미리앤주 황동 띠 수호신 소원성취 키링, 2.소, 1개","키링","6,000원","https://www.coupang.com/vp/products/7434987988?itemId=19319645495&vendorItemId=86459164726&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=48&rank=48"
"강아지 커플 자석 키링, 1개, 1+1 강아지","키링","4,250원","https://www.coupang.com/vp/products/8639611045?itemId=25071532248&vendorItemId=93228840121&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=49&rank=49"
"버블리데이 소풍가는 갸우뚱 오리 키링","키링","4,020원","https://www.coupang.com/vp/products/6869190251?itemId=16427144336&vendorItemId=90131748924&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=50&rank=50"
"반려견 키링, 1개, 6번 강아지","키링","3,000원","https://www.coupang.com/vp/products/9495871549?itemId=28285446182&vendorItemId=95238411009&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=51&rank=51"
"카템 모던라인 키링, 1개, 블랙","키링","4,390원","https://www.coupang.com/vp/products/345515276?itemId=205430642&vendorItemId=3487292310&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=52&rank=52"
"짱구의 하루 피규어 키링 열쇠고리","키링","6,590원","https://www.coupang.com/vp/products/8529539009?itemId=23655356638&vendorItemId=90956643780&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=53&rank=53"
"주문제작 주차번호판키링 열쇠고리 스마트키홀더 자동차키링 키홀더, 개별디자인, 도담체, 기본패키지","키링","7,410원","https://www.coupang.com/vp/products/7298044393?itemId=18668397928&vendorItemId=85802807717&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=54&rank=54"
"나뚜라 엘레간테 고급 가죽 자동차 키링, 블랙","키링","9,900원","https://www.coupang.com/vp/products/8517254940?itemId=24658039557&vendorItemId=91668502469&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=55&rank=55"
"라부부 콜라 가방고리 미니 키링 핸드폰 열쇠고리, 콜라, 블랙, 1개","키링","6,840원","https://www.coupang.com/vp/products/9529431884?itemId=28416856376&vendorItemId=94801227014&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=56&rank=56"
"진루이 JK 고급 스웨이드 가죽 자동차 키홀더, B타입, 블랙","키링","9,400원","https://www.coupang.com/vp/products/7680900702?itemId=20515461357&vendorItemId=87640654341&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=57&rank=57"
"벤쿠쿠 니트 디자인 리본 곰돌이 키링, 블랙","키링","1,590원","https://www.coupang.com/vp/products/6257022425?itemId=12717579853&vendorItemId=79984292807&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=58&rank=58"
